Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Root	Atrichoblast	AT1G66280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G66400	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G66480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G66500	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G67900	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G68150	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G69030	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G69760	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G69810	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G70230	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G70410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G70560	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G70850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G70990	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G71300	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G72150	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G73280	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G73510	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G74830	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G74950	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G75390	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G75780	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G75800	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G76240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G76490	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G76570	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G76600	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G76690	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G76950	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78000	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78040	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78340	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78380	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G78900	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G80240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G01830	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G01880	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G02610	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G04160	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G09230	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G09665	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G14890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G14960	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G15500	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G17070	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G17080	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT2G18210	Marker #2
